Code,Entity,Cantril_ladder_satisfaction_score,happiness_rank,personal_freedom,economic_freedom,overall_score,freedom_rank,gni_rank,2017_GNI
AGO,Angola,4.420298874378205,35.0,5.856932442555556,5.142222222222222,5.499577332388889,16.0,120.0,3570.0
ALB,Albania,5.037916342417399,67.0,7.696933644555555,7.348888888888889,7.522911266722222,112.0,107.0,4320.0
ARE,United Arab Emirates,6.769546667734783,145.0,5.300905456444444,7.581111111111111,6.441008283777779,50.0,22.0,39130.0
ARG,Argentina,6.267575993257412,128.0,8.120779425222223,5.233333333333333,6.677056379277777,64.0,56.0,13030.0
ARM,Armenia,4.616995751857758,45.0,7.192094525888889,7.634444444444444,7.4132694851666665,109.0,112.0,3990.0
AUS,Australia,7.268371194601059,156.0,9.230847240777777,7.995555555555557,8.613201398166666,158.0,13.0,51360.0
AUT,Austria,7.2386497815450035,155.0,9.20605970711111,7.642222222222222,8.424140964666666,151.0,16.0,45360.0
AZE,Azerbaijan,4.96987748146057,63.0,6.072413192777778,6.235555555555556,6.153984374166666,35.0,109.0,4080.0
BDI,Burundi,3.5859868129094434,4.0,5.692354707111111,5.532222222222222,5.612288464666666,19.0,191.0,280.0
BEL,Belgium,6.961267828941345,149.0,9.077078747111111,7.378888888888889,8.227983818,144.0,20.0,42050.0
BEN,Benin,4.160361272948127,19.0,7.21513268211111,6.002222222222223,6.608677452166667,60.0,168.0,800.0
BFA,Burkina Faso,4.246145200729371,21.0,7.490146859333333,5.955555555555556,6.722851207444445,69.0,181.0,590.0
BGD,Bangladesh,4.794033415177289,54.0,5.4526426225555555,6.288888888888889,5.870765755722222,25.0,152.0,1470.0
BGR,Bulgaria,4.680460912840707,47.0,8.2937555,7.334444444444445,7.814099972222222,121.0,76.0,7860.0
BHR,Bahrain,6.100981418903057,120.0,6.198800888111111,7.402222222222223,6.8005115551666675,77.0,37.0,21200.0
BIH,Bosnia and Herzegovina,5.270668093363444,79.0,8.024973788777778,6.651111111111111,7.338042449944443,107.0,99.0,4910.0
BLR,Belarus,5.584448546171188,95.0,6.059028163,6.23,6.1445140815000014,33.0,94.0,5290.0
BLZ,Belize,6.2031455039978045,124.0,7.262219308666666,6.973333333333333,7.117776320999998,97.0,106.0,4390.0
BOL,Bolivia,5.724502535427317,104.0,7.444923134333333,6.257777777777778,6.851350456055556,83.0,126.0,3130.0
BRA,Brazil,6.584439165451949,140.0,7.336128086444445,6.131111111111111,6.7336195987777785,70.0,72.0,8610.0
BTN,Bhutan,5.19659948348999,74.0,6.701444593750001,7.0125,6.856972296875,84.0,133.0,2660.0
BWA,Botswana,3.921051672526768,11.0,6.710745197,7.154444444444445,6.9325948207222226,87.0,81.0,6730.0
CAF,Central African Republic,3.514954328536986,3.0,5.312998115666667,5.113333333333333,5.2131657245,11.0,187.0,390.0
CAN,Canada,7.339599441079531,158.0,9.222606004666666,8.015555555555556,8.619080780111112,159.0,19.0,42790.0
CHE,Switzerland,7.547114928563437,163.0,9.285893060666666,8.28,8.782946530333334,160.0,1.0,81130.0
CHL,Chile,6.334950419033275,133.0,8.446650433,7.843333333333334,8.144991883166668,138.0,54.0,13610.0
CHN,China,5.096735196955062,68.0,5.578821857444444,6.35,5.964410928722221,29.0,71.0,8690.0
CIV,Cote d'Ivoire,4.72633875500072,49.0,6.396934279666667,5.783333333333333,6.0901338065,32.0,150.0,1580.0
CMR,Cameroon,4.67792217871722,46.0,5.747182151444445,5.8933333333333335,5.82025774238889,24.0,155.0,1370.0
COD,Democratic Republic of Congo,4.3484409153461465,27.0,4.992958316,5.371111111111111,5.182034713555556,9.0,184.0,460.0
COG,Congo,4.5894978046417245,43.0,6.6001303753333325,4.696666666666667,5.648398521,21.0,154.0,1430.0
COL,Colombia,6.207073772654815,125.0,6.763727852111111,6.653333333333333,6.708530592722222,68.0,89.0,5890.0
CRI,Costa Rica,7.1351488530635825,153.0,8.27091275211111,7.462222222222222,7.866567487166666,122.0,61.0,11120.0
CYP,Cyprus,6.1204994201660154,123.0,8.721314094,7.575555555555557,8.148434824777778,139.0,33.0,24070.0
CZE,Czechia,6.6417902537754605,142.0,9.068844098888889,7.351111111111111,8.209977604999999,143.0,43.0,17960.0
DEU,Germany,6.872750422533821,147.0,9.210506400444444,7.627777777777778,8.419142089111112,149.0,18.0,43700.0
DNK,Denmark,7.674133581273696,165.0,9.446269445444445,7.732222222222223,8.589245833833335,156.0,9.0,55330.0
DOM,Dominican Republic,5.266166743110208,78.0,7.029177947333333,7.077777777777778,7.053477862555556,93.0,83.0,6630.0
DZA,Algeria,5.312713527679443,81.0,5.249383447222223,5.032222222222222,5.140802834722223,8.0,114.0,3940.0
ECU,Ecuador,5.7297194705289956,105.0,7.448115101777778,5.934444444444444,6.69127977311111,66.0,88.0,5920.0
EGY,Egypt,4.501276352826287,39.0,4.879070051333333,6.065555555555555,5.472312803444443,15.0,128.0,3010.0
ESP,Spain,6.506683826446533,137.0,8.877762356444444,7.405555555555556,8.141658956,137.0,32.0,27150.0
EST,Estonia,5.712002396583557,103.0,9.004071959555555,7.776666666666666,8.39036931311111,147.0,41.0,18670.0
ETH,Ethiopia,4.373472603884609,30.0,5.3682179623333335,5.526666666666667,5.447442314499999,14.0,173.0,740.0
FIN,Finland,7.6284605026245105,164.0,9.45268999688889,7.760000000000001,8.606344998444445,157.0,17.0,44760.0
FRA,France,6.671906639547909,144.0,8.822238806444444,7.34,8.081119403222221,129.0,25.0,38160.0
GAB,Gabon,4.52077113498341,40.0,5.821078061666666,5.623333333333333,5.722205697499999,23.0,82.0,6650.0
GBR,United Kingdom,6.927763181574203,148.0,9.064920839666668,7.961111111111112,8.513015975388889,154.0,21.0,40600.0
GEO,Georgia,4.358503047157737,29.0,7.727006364,7.751111111111111,7.739058737555556,120.0,117.0,3770.0
GHA,Ghana,4.838067082797778,57.0,7.718342592555555,6.635555555555555,7.176949074055554,99.0,145.0,1880.0
GIN,Guinea,4.262398372996937,22.0,5.545438262999999,5.735,5.6402191315,20.0,170.0,790.0
GMB,Gambia,4.883653068542482,59.0,5.760036463,7.1971428571428575,6.478589660071428,51.0,175.0,680.0
GRC,Greece,5.585595577955246,96.0,8.415082792555555,6.7588888888888885,7.586985840722222,118.0,42.0,18340.0
GTM,Guatemala,6.265085101127624,127.0,6.828006613111111,7.42,7.124003306555555,98.0,110.0,4060.0
GUY,Guyana,5.99282646179199,117.0,7.291087490777778,6.292222222222222,6.791654856499999,75.0,105.0,4500.0
HKG,Hong Kong,5.447786111098069,87.0,8.924018081666667,9.016666666666667,8.970342374166666,162.0,15.0,46310.0
HND,Honduras,5.46493822336197,88.0,6.335484983555555,7.21,6.772742491777778,74.0,138.0,2250.0
HRV,Croatia,5.678090095520019,101.0,8.386016626444444,6.878888888888889,7.632452757666666,119.0,60.0,12570.0
HTI,Haiti,3.9259191751480103,12.0,7.1603911710000006,6.448888888888889,6.804640029944444,78.0,172.0,760.0
HUN,Hungary,5.398342400789261,85.0,8.638631375222223,7.288888888888888,7.9637601320555556,125.0,57.0,12920.0
IDN,Indonesia,5.2357245683670035,76.0,6.846189357555556,6.854444444444444,6.850316900999999,82.0,122.0,3540.0
IND,India,4.393785546807683,33.0,6.652640323666667,6.4655555555555555,6.559097939611111,56.0,147.0,1790.0
IRL,Ireland,7.067175686359405,150.0,9.001336202444444,7.954444444444444,8.477890323444445,153.0,11.0,53370.0
IRN,Iran,4.8566099802653,58.0,4.338572973888889,5.536666666666666,4.937619820277778,7.0,92.0,5430.0
IRQ,Iraq,4.708349806921825,48.0,3.11602762,5.4,4.2580138100000005,1.0,103.0,4630.0
ISL,Iceland,7.468405151367188,161.0,9.217400209777777,7.026666666666667,8.122033438222221,133.0,7.0,60500.0
ISR,Israel,7.22335708842558,154.0,7.8131606618888885,7.355555555555556,7.584358108722223,117.0,26.0,37440.0
ITA,Italy,6.307620329015395,132.0,8.74352784511111,7.187777777777778,7.965652811444445,126.0,28.0,31180.0
JAM,Jamaica,5.869943916797639,110.0,7.201818182444445,7.166666666666667,7.184242424555556,100.0,102.0,4760.0
JOR,Jordan,5.105000552009134,69.0,6.141159805111111,7.445555555555556,6.793357680333333,76.0,113.0,3980.0
JPN,Japan,6.013142810148351,118.0,8.814247490777777,7.544444444444445,8.17934596761111,141.0,24.0,38520.0
KAZ,Kazakhstan,5.851673883550308,109.0,6.547347041777778,7.098888888888889,6.823117965333334,81.0,75.0,7970.0
KEN,Kenya,4.42312974088332,36.0,6.397534042888889,7.016666666666667,6.7071003547777766,67.0,153.0,1460.0
KGZ,Kyrgyzstan,5.242376692154828,77.0,6.325619535333334,6.787777777777778,6.5566986565555565,55.0,164.0,1130.0
KHM,Cambodia,4.307844456504373,24.0,7.381417548857143,7.097142857142857,7.239280203,105.0,160.0,1230.0
KOR,South Korea,5.876695296343635,111.0,8.755963063444446,7.475555555555555,8.1157593095,132.0,31.0,28380.0
KWT,Kuwait,6.24795073729295,126.0,6.002083220666666,6.876666666666667,6.4393749436666665,48.0,27.0,31430.0
LAO,Laos,5.018009445884012,66.0,5.917195994666667,6.933333333333334,6.425264664,47.0,137.0,2270.0
LBN,Lebanon,4.830046400427818,56.0,6.329352124285714,7.042857142857143,6.6861046335714285,65.0,74.0,8400.0
LBR,Liberia,4.197637211192739,20.0,6.410301763666666,6.87,6.640150881833333,62.0,178.0,620.0
LBY,Libya,5.5018667578697205,89.0,4.2668068565,4.805,4.53590342825,2.0,90.0,5500.0
LKA,Sri Lanka,4.313003873825074,25.0,5.920312743666667,6.564444444444444,6.242378594055555,37.0,116.0,3850.0
LSO,Lesotho,3.8394001722335815,9.0,6.2937743909999995,6.248888888888889,6.271331639944445,38.0,161.0,1210.0
LTU,Lithuania,5.88761848561904,112.0,8.71302928388889,7.647777777777778,8.180403530833335,142.0,49.0,15200.0
LUX,Luxembourg,7.095995792975793,152.0,9.20054129088889,7.581111111111111,8.390826201,148.0,5.0,70790.0
LVA,Latvia,5.51204127073288,90.0,8.712358109222222,7.536666666666666,8.124512387944444,134.0,50.0,14790.0
MAR,Morocco,5.014670451482136,65.0,6.265663314666666,6.342222222222222,6.303942768444444,40.0,132.0,2860.0
MDA,Moldova,5.636840736164765,100.0,7.372290346666667,6.655555555555555,7.01392295111111,91.0,139.0,2200.0
MDG,Madagascar,4.025737212254451,15.0,7.008161892555555,6.332222222222223,6.670192057388888,63.0,186.0,400.0
MEX,Mexico,6.641956637887395,143.0,6.887860884444445,6.738888888888889,6.813374886666668,79.0,72.0,8610.0
MKD,North Macedonia,4.94627021153768,61.0,7.896297834888888,7.078888888888889,7.487593361888888,110.0,100.0,4880.0
MLI,Mali,4.2963121732076,23.0,6.136264951444444,5.917777777777777,6.0270213646111115,30.0,171.0,770.0
MLT,Malta,6.41281863621303,135.0,8.97974192088889,7.67,8.324870960444445,146.0,34.0,23940.0
MMR,Myanmar,4.408945430408825,34.0,5.628229668333334,4.7811111111111115,5.204670389722223,10.0,161.0,1210.0
MNE,Montenegro,5.345384883880615,83.0,8.039073882444445,7.122222222222222,7.580648052333333,116.0,77.0,7400.0
MNG,Mongolia,5.146136220296223,70.0,7.882934930888889,7.142222222222222,7.512578576555556,111.0,125.0,3270.0
MOZ,Mozambique,4.731048631668092,51.0,6.650534168555556,5.667777777777777,6.1591559731666665,36.0,185.0,420.0
MRT,Mauritania,4.381926186879477,32.0,5.5213610491111105,5.7988888888888885,5.660124968999999,22.0,165.0,1100.0
MUS,Mauritius,5.907475577460394,114.0,8.243014313333333,8.017777777777777,8.130396045555555,135.0,64.0,10130.0
MWI,Malawi,4.000556588172912,13.0,7.419664314777778,6.093333333333333,6.756498824055555,72.0,190.0,320.0
MYS,Malaysia,5.760046584265572,106.0,6.1955854537777775,6.89,6.542792726888888,54.0,67.0,9650.0
NAM,Namibia,4.581911742687225,42.0,7.270699630555555,6.71,6.990349815277778,89.0,104.0,4570.0
NER,Niger,4.352269574999811,28.0,6.4297662996666665,5.731111111111111,6.080438705388889,31.0,189.0,360.0
NGA,Nigeria,4.965827433268229,62.0,5.692718759777778,6.231111111111111,5.961914935444444,28.0,142.0,2100.0
NIC,Nicaragua,5.68189001083374,102.0,6.868350911777778,7.248888888888889,7.058619900333333,95.0,141.0,2130.0
NLD,Netherlands,7.462937027215957,160.0,9.244453937555555,7.602222222222222,8.42333807988889,150.0,14.0,46910.0
NOR,Norway,7.49027180671692,162.0,9.476455038555555,7.578888888888888,8.527671963722222,155.0,3.0,76160.0
NPL,Nepal,4.768569365143776,52.0,7.269745545222223,6.2411111111111115,6.755428328166668,71.0,168.0,800.0
NZL,New Zealand,7.301291286945342,157.0,9.293994621,8.421111111111111,8.857552866055556,161.0,23.0,38780.0
OMN,Oman,6.85298204421997,146.0,5.682883691555555,6.955555555555556,6.319219623555557,42.0,51.0,14540.0
PAK,Pakistan,5.177715837955475,71.0,5.024232012222222,6.065555555555556,5.544893783888889,18.0,150.0,1580.0
PAN,Panama,6.628796458244323,141.0,7.722482683333333,7.354444444444444,7.538463563888889,113.0,55.0,13280.0
PER,Peru,5.607351899147034,97.0,7.622832169666667,7.532222222222221,7.577527195944445,115.0,86.0,5960.0
PHL,Philippines,5.294840588289149,80.0,6.8585786429999995,7.181111111111111,7.019844877055555,92.0,118.0,3660.0
POL,Poland,5.95645347237587,115.0,8.842267613333334,7.23888888888889,8.040578251111112,127.0,58.0,12730.0
PRT,Portugal,5.512179311116537,91.0,8.98225872988889,7.348888888888889,8.16557380938889,140.0,39.0,19930.0
PRY,Paraguay,5.566658210754396,94.0,7.201110373777777,6.796666666666667,6.998888520222221,90.0,91.0,5470.0
QAT,Qatar,6.5689818382263185,139.0,5.420315459428571,7.46,6.440157729714286,49.0,6.0,60510.0
ROU,Romania,5.630086771647135,99.0,8.682346627333333,7.515555555555555,8.098951091444444,130.0,65.0,10000.0
RUS,Russia,5.514491866616642,92.0,6.201915415666666,6.598888888888889,6.400402152277778,46.0,68.0,9220.0
RWA,Rwanda,3.6097554138728554,5.0,6.680666764,7.27888888888889,6.979777826444445,88.0,174.0,720.0
SAU,Saudi Arabia,6.534693044774673,138.0,4.4785012832857145,6.522857142857142,5.500679213071429,17.0,38.0,20090.0
SDN,Sudan,4.378741168975832,31.0,4.246047171,5.36,4.8030235855,5.0,135.0,2380.0
SEN,Senegal,4.522735372185705,41.0,6.628458791666667,6.052222222222222,6.340340506944446,45.0,159.0,1240.0
SGP,Singapore,6.494144884745279,136.0,7.428659629777777,8.77888888888889,8.103774259333333,131.0,10.0,54530.0
SLE,Sierra Leone,4.054858769689288,16.0,6.584694780111111,6.053333333333333,6.319014056722222,41.0,183.0,510.0
SLV,El Salvador,5.9682527149424835,116.0,7.131888982333333,7.245555555555555,7.188722268944443,101.0,121.0,3560.0
SRB,Serbia,5.362939707438151,84.0,7.778085575111111,6.653333333333332,7.215709454222221,103.0,95.0,5180.0
SUR,Suriname,6.26928663253784,129.0,7.613502414857144,6.619999999999999,7.116751207428571,96.0,96.0,5150.0
SVK,Slovakia,6.106308732713972,121.0,8.730864235222223,7.412222222222222,8.071543228722222,128.0,44.0,16650.0
SVN,Slovenia,6.119199307759604,122.0,8.812398098888888,6.934444444444444,7.873421271666667,123.0,36.0,22030.0
SWE,Sweden,7.369994556202608,159.0,9.383868994444445,7.507777777777779,8.445823386111112,152.0,12.0,52270.0
SWZ,Eswatini,4.435794258117676,37.0,5.811850279,6.4799999999999995,6.145925139499998,34.0,130.0,2950.0
TCD,Chad,4.0774688720703125,18.0,5.636701541555556,5.084444444444444,5.360572993000001,13.0,177.0,640.0
TGO,Togo,3.655876203016801,6.0,6.067531348111111,5.680000000000001,5.873765674055556,26.0,179.0,610.0
THA,Thailand,6.0698195064769065,119.0,7.138150087555555,6.687777777777778,6.912963932666667,86.0,87.0,5950.0
TJK,Tajikistan,4.995398633620319,64.0,6.442607612000001,6.574285714285714,6.508446663142858,52.0,166.0,990.0
TTO,Trinidad and Tobago,6.2813890457153345,130.0,6.968704063111111,6.66,6.814352031555555,80.0,46.0,15340.0
TUN,Tunisia,4.72732390676226,50.0,6.154480672333333,6.522222222222222,6.338351447277778,44.0,123.0,3490.0
TUR,Turkey,5.192452066084918,73.0,6.931939313111111,6.8788888888888895,6.905414101000001,85.0,62.0,10940.0
TZA,Tanzania,3.693227094762465,7.0,6.442069021888889,6.683333333333334,6.562701177611111,57.0,167.0,920.0
UGA,Uganda,4.341111014871037,26.0,5.882960190555555,7.327777777777778,6.605368984166667,59.0,180.0,600.0
UKR,Ukraine,4.792345383588007,53.0,7.226454019999999,5.932222222222222,6.57933812111111,58.0,134.0,2390.0
URY,Uruguay,6.284347646376666,131.0,8.575500313444444,7.2155555555555555,7.8955279345,124.0,48.0,15250.0
USA,United States,7.075315363266888,151.0,8.711719123777778,7.897777777777778,8.304748450777778,145.0,8.0,59160.0
VNM,Vietnam,5.323625862598417,82.0,6.3299287060000005,6.335555555555556,6.332742130777778,43.0,140.0,2160.0
YEM,Yemen,3.914306351116725,10.0,3.0943668250000003,6.28,4.6871834125000005,3.0,158.0,1250.0
ZAF,South Africa,4.896811611512128,60.0,7.209171956777778,6.903333333333333,7.056252645055555,94.0,92.0,5430.0
ZMB,Zambia,4.47241596877575,38.0,6.201252714555555,7.050000000000001,6.625626357277778,61.0,156.0,1290.0
ZWE,Zimbabwe,3.7870729670805097,8.0,5.260316443222222,5.166666666666667,5.2134915549444445,12.0,163.0,1170.0
